,Tree node ID,Tree node label,palmdb_sp_count,ncbi_sp_count,palmdb_sp_count_log,ncbi_sp_count_log,palmdb_sp_count_log-ncbi_sp_count_log
54,Orbivirus,Orbivirus,354,26,5.869296913133774,3.258096538021482,2.611200375112292
55,Seadornavirus,Seadornavirus,36,3,3.58351893845611,1.0986122886681098,2.484906649788
56,Cardoreovirus,Cardoreovirus,2,1,0.6931471805599453,0.0,0.6931471805599453
57,Unclass. Chrymotiviricetes G,Unclass. Chrymotiviricetes G,857,NA,6.75343791859778,0.0,6.75343791859778
58,Quadrivirus,Quadrivirus,5,1,1.6094379124341003,0.0,1.6094379124341003
59,Unclass. Ghabrivirales G,Unclass. Ghabrivirales G,1873,NA,7.5352967024440884,0.0,7.5352967024440884
60,Megabirnavirus,Megabirnavirus,3,3,1.0986122886681098,1.0986122886681098,0.0
61,Unclass. Megabirnaviridae,Unclass. Megabirnaviridae,13,NA,2.5649493574615367,0.0,2.5649493574615367
62,Alphachrysovirus,Alphachrysovirus,64,17,4.1588830833596715,2.833213344056216,1.3256697393034553
63,Chrysovirus,Chrysovirus,30,10,3.4011973816621555,2.302585092994046,1.0986122886681096
64,Betachrysovirus,Betachrysovirus,13,10,2.5649493574615367,2.302585092994046,0.26236426446749084
65,Unclass. Chrysoviridae,Unclass. Chrysoviridae,155,NA,5.043425116919247,0.0,5.043425116919247
66,Unclass. Totiviridae,Unclass. Totiviridae,1403,NA,7.246368080102461,0.0,7.246368080102461
67,Leishmaniavirus,Leishmaniavirus,32,4,3.4657359027997265,1.3862943611198906,2.079441541679836
68,Giardiavirus,Giardiavirus,10,2,2.302585092994046,0.6931471805599453,1.6094379124341005
69,Victorivirus,Victorivirus,91,29,4.51085950651685,3.367295829986474,1.1435636765303756
70,Trichomonasvirus,Trichomonasvirus,59,4,4.07753744390572,1.3862943611198906,2.691243082785829
71,Totivirus,Totivirus,117,10,4.762173934797756,2.302585092994046,2.4595888418037104
72,Unclass. Kitrinoviricota G,Unclass. Kitrinoviricota G,1771,NA,7.479299637782834,0.0,7.479299637782834
73,Unclass. Flasuviricetes G,Unclass. Flasuviricetes G,71,NA,4.2626798770413155,0.0,4.2626798770413155
74,Unclass. Amarillovirales G,Unclass. Amarillovirales G,61,NA,4.110873864173311,0.0,4.110873864173311
75,Flavivirus,Flavivirus,1803,23,7.497207223203318,3.1354942159291497,4.361713007274168
76,Pegivirus,Pegivirus,199,15,5.293304824724492,2.70805020110221,2.585254623622282
77,Unclass. Flaviviridae,Unclass. Flaviviridae,199,NA,5.293304824724492,0.0,5.293304824724492
78,Pestivirus,Pestivirus,401,22,5.993961427306569,3.091042453358316,2.9029189739482533
79,Hepacivirus,Hepacivirus,9148,28,9.121290555142672,3.332204510175204,5.789086044967467
80,Unclass. Magsaviricetes G,Unclass. Magsaviricetes G,1094,NA,6.9975959829819265,0.0,6.9975959829819265
81,Unclass. Nodamuvirales G,Unclass. Nodamuvirales G,737,NA,6.602587892189336,0.0,6.602587892189336
82,Unclass. Sinhaliviridae,Unclass. Sinhaliviridae,1,NA,0.0,0.0,0.0
83,Sinaivirus,Sinaivirus,73,9,4.290459441148391,2.1972245773362196,2.0932348638121714
