,Tree node ID,Tree node label,palmdb_sp_count,ncbi_sp_count,palmdb_sp_count_log,ncbi_sp_count_log,palmdb_sp_count_log-ncbi_sp_count_log
271,Cytorhabdovirus,Cytorhabdovirus,111,31,4.709530201312334,3.4339872044851463,1.2755429968271876
272,Unclass. Rhabdoviridae,Unclass. Rhabdoviridae,761,NA,6.634633357861686,0.0,6.634633357861686
273,Lyssavirus,Lyssavirus,159,18,5.0689042022202315,2.8903717578961645,2.178532444324067
274,Hapavirus,Hapavirus,18,17,2.8903717578961645,2.833213344056216,0.05715841383994835
275,Perhabdovirus,Perhabdovirus,9,4,2.1972245773362196,1.3862943611198906,0.810930216216329
276,Ephemerovirus,Ephemerovirus,15,14,2.70805020110221,2.6390573296152584,0.06899287148695166
277,Alphanucleorhabdovirus,Alphanucleorhabdovirus,2,12,0.6931471805599453,2.4849066497880004,0.0
278,Dichorhavirus,Dichorhavirus,11,5,2.3978952727983707,1.6094379124341003,0.7884573603642704
279,Sigmavirus,Sigmavirus,12,17,2.4849066497880004,2.833213344056216,0.0
280,Novirhabdovirus,Novirhabdovirus,33,4,3.4965075614664802,1.3862943611198906,2.11021320034659
281,Varicosavirus,Varicosavirus,16,5,2.772588722239781,1.6094379124341003,1.1631508098056809
282,Curiovirus,Curiovirus,4,4,1.3862943611198906,1.3862943611198906,0.0
283,Tibrovirus,Tibrovirus,8,7,2.0794415416798357,1.9459101490553132,0.13353139262452252
284,Sripuvirus,Sripuvirus,13,7,2.5649493574615367,1.9459101490553132,0.6190392084062235
285,Sprivivirus,Sprivivirus,22,4,3.091042453358316,1.3862943611198906,1.7047480922384255
286,Sawgrhavirus,Sawgrhavirus,4,4,1.3862943611198906,1.3862943611198906,0.0
287,Sunrhavirus,Sunrhavirus,5,15,1.6094379124341003,2.70805020110221,0.0
288,Alphanemrhavirus,Alphanemrhavirus,2,2,0.6931471805599453,0.6931471805599453,0.0
289,Barhavirus,Barhavirus,4,2,1.3862943611198906,0.6931471805599453,0.6931471805599453
290,Almendravirus,Almendravirus,15,6,2.70805020110221,1.791759469228055,0.9162907318741551
291,Ohlsrhavirus,Ohlsrhavirus,19,6,2.9444389791664403,1.791759469228055,1.1526795099383853
292,Tupavirus,Tupavirus,7,5,1.9459101490553132,1.6094379124341003,0.33647223662121295
293,Caligrhavirus,Caligrhavirus,9,3,2.1972245773362196,1.0986122886681098,1.0986122886681098
294,Unclass. Pisuviricota G,Unclass. Pisuviricota G,5693,NA,8.646992628951082,0.0,8.646992628951082
295,Unclass. Duplopiviricetes G,Unclass. Duplopiviricetes G,1875,NA,7.536363938404511,0.0,7.536363938404511
296,Unclass. Durnavirales G,Unclass. Durnavirales G,2792,NA,7.934513463882263,0.0,7.934513463882263
297,Unclass. Hypoviridae,Unclass. Hypoviridae,52,NA,3.9512437185814275,0.0,3.9512437185814275
298,Hypovirus,Hypovirus,48,12,3.871201010907891,2.4849066497880004,1.3862943611198908
299,Unclass. Picobirnaviridae,Unclass. Picobirnaviridae,6203,NA,8.732788324973118,0.0,8.732788324973118
300,Picobirnavirus,Picobirnavirus,3886,8,8.265135629937385,2.0794415416798357,6.185694088257549
301,Amalgavirus,Amalgavirus,36,7,3.58351893845611,1.9459101490553132,1.6376087894007967
302,Zybavirus,Zybavirus,2,2,0.6931471805599453,0.6931471805599453,0.0
303,Unclass. Amalgaviridae,Unclass. Amalgaviridae,1049,NA,6.955592608396297,0.0,6.955592608396297
304,Deltapartitivirus,Deltapartitivirus,155,5,5.043425116919247,1.6094379124341003,3.4339872044851463
305,Unclass. Partitiviridae,Unclass. Partitiviridae,5256,NA,8.567125560164447,0.0,8.567125560164447
306,Betapartitivirus,Betapartitivirus,310,20,5.736572297479192,2.995732273553991,2.7408400239252013
307,Alphapartitivirus,Alphapartitivirus,254,16,5.537334267018537,2.772588722239781,2.7647455447787554
308,Gammapartitivirus,Gammapartitivirus,116,9,4.7535901911063645,2.1972245773362196,2.556365613770145
309,Cryspovirus,Cryspovirus,19,1,2.9444389791664403,0.0,2.9444389791664403
310,Unclass. Stelpaviricetes G,Unclass. Stelpaviricetes G,244,NA,5.497168225293202,0.0,5.497168225293202
311,Unclass. Stellavirales G,Unclass. Stellavirales G,119,NA,4.77912349311153,0.0,4.77912349311153
312,Unclass. Astroviridae,Unclass. Astroviridae,688,NA,6.5337888379333435,0.0,6.5337888379333435
313,Mamastrovirus,Mamastrovirus,1006,37,6.913737350659685,3.6109179126442243,3.3028194380154603
314,Avastrovirus,Avastrovirus,235,5,5.459585514144159,1.6094379124341003,3.8501476017100584
315,Unclass. Patatavirales G,Unclass. Patatavirales G,11,NA,2.3978952727983707,0.0,2.3978952727983707
316,Potyvirus,Potyvirus,2128,191,7.662937850461535,5.25227342804663,2.4106644224149054
317,Macluravirus,Macluravirus,94,10,4.543294782270004,2.302585092994046,2.240709689275958
318,Poacevirus,Poacevirus,31,3,3.4339872044851463,1.0986122886681098,2.3353749158170363
319,Ipomovirus,Ipomovirus,58,7,4.060443010546419,1.9459101490553132,2.1145328614911056
320,Unclass. Potyviridae,Unclass. Potyviridae,119,NA,4.77912349311153,0.0,4.77912349311153
321,Tritimovirus,Tritimovirus,39,6,3.6635616461296463,1.791759469228055,1.8718021769015913
322,Bymovirus,Bymovirus,49,6,3.8918202981106265,1.791759469228055,2.1000608288825715
323,Arepavirus,Arepavirus,6,2,1.791759469228055,0.6931471805599453,1.0986122886681096
324,Rymovirus,Rymovirus,24,3,3.1780538303479458,1.0986122886681098,2.079441541679836
325,Roymovirus,Roymovirus,2,2,0.6931471805599453,0.6931471805599453,0.0
326,Unclass. Pisoniviricetes G,Unclass. Pisoniviricetes G,5637,NA,8.637107288081575,0.0,8.637107288081575
327,Unclass. Sobelivirales G,Unclass. Sobelivirales G,366,NA,5.902633333401366,0.0,5.902633333401366
328,Unclass. Barnaviridae,Unclass. Barnaviridae,26,NA,3.258096538021482,0.0,3.258096538021482
329,Barnavirus,Barnavirus,8,1,2.0794415416798357,0.0,2.0794415416798357
330,Sobemovirus,Sobemovirus,233,21,5.4510384535657,3.044522437723423,2.406516015842277
331,Unclass. Solemoviridae,Unclass. Solemoviridae,233,NA,5.4510384535657,0.0,5.4510384535657
332,Polemovirus,Polemovirus,4,1,1.3862943611198906,0.0,1.3862943611198906
333,Okavirus,Okavirus,10,3,2.302585092994046,1.0986122886681098,1.2039728043259361
334,Unclass. Nidovirales G,Unclass. Nidovirales G,23,NA,3.1354942159291497,0.0,3.1354942159291497
335,Unclass. Euroniviridae,Unclass. Euroniviridae,4,NA,1.3862943611198906,0.0,1.3862943611198906
336,Sajorinivirus,Sajorinivirus,3,1,1.0986122886681098,0.0,1.0986122886681098
337,Unclass. Mesoniviridae,Unclass. Mesoniviridae,2,NA,0.6931471805599453,0.0,0.6931471805599453
338,Alphamesonivirus,Alphamesonivirus,34,12,3.5263605246161616,2.4849066497880004,1.0414538748281612
339,Pregotovirus,Pregotovirus,3,5,1.0986122886681098,1.6094379124341003,0.0
340,Torovirus,Torovirus,25,7,3.2188758248682006,1.9459101490553132,1.2729656758128873
341,Unclass. Tobaniviridae,Unclass. Tobaniviridae,29,NA,3.367295829986474,0.0,3.367295829986474
342,Oncotshavirus,Oncotshavirus,3,1,1.0986122886681098,0.0,1.0986122886681098
343,Betacoronavirus,Betacoronavirus,565,20,6.336825731146441,2.995732273553991,3.3410934575924505
344,Alphacoronavirus,Alphacoronavirus,219,31,5.389071729816501,3.4339872044851463,1.9550845253313547
345,Deltacoronavirus,Deltacoronavirus,40,10,3.6888794541139363,2.302585092994046,1.3862943611198904
346,Gammacoronavirus,Gammacoronavirus,128,6,4.852030263919617,1.791759469228055,3.060270794691562
347,Unclass. Coronaviridae,Unclass. Coronaviridae,67,NA,4.204692619390966,0.0,4.204692619390966
348,Unclass. Arteriviridae,Unclass. Arteriviridae,338,NA,5.823045895483019,0.0,5.823045895483019
349,Betaarterivirus,Betaarterivirus,1,5,0.0,1.6094379124341003,0.0
350,Iotaarterivirus,Iotaarterivirus,2,3,0.6931471805599453,1.0986122886681098,0.0
351,Etaarterivirus,Etaarterivirus,13,1,2.5649493574615367,0.0,2.5649493574615367
352,Epsilonarterivirus,Epsilonarterivirus,21,3,3.044522437723423,1.0986122886681098,1.9459101490553132
353,Deltaarterivirus,Deltaarterivirus,11,1,2.3978952727983707,0.0,2.3978952727983707
354,Kappaarterivirus,Kappaarterivirus,8,1,2.0794415416798357,0.0,2.0794415416798357
355,Thetaarterivirus,Thetaarterivirus,10,2,2.302585092994046,0.6931471805599453,1.6094379124341005
356,Alphaarterivirus,Alphaarterivirus,12,1,2.4849066497880004,0.0,2.4849066497880004
357,Gammaarterivirus,Gammaarterivirus,17,1,2.833213344056216,0.0,2.833213344056216
358,Iflavirus,Iflavirus,433,27,6.07073772800249,3.295836866004329,2.7749008619981606
359,Unclass. Iflaviridae,Unclass. Iflaviridae,1248,NA,7.129297548929373,0.0,7.129297548929373
360,Unclass. Polycipiviridae,Unclass. Polycipiviridae,78,NA,4.356708826689592,0.0,4.356708826689592
361,Sopolycivirus,Sopolycivirus,20,6,2.995732273553991,1.791759469228055,1.203972804325936
362,Husavirus,Husavirus,24,2,3.1780538303479458,0.6931471805599453,2.4849066497880004
363,Unclass. Picornavirales G,Unclass. Picornavirales G,5320,NA,8.57922858233569,0.0,8.57922858233569
364,Posavirus,Posavirus,40,3,3.6888794541139363,1.0986122886681098,2.5902671654458267
365,Unclass. Marnaviridae,Unclass. Marnaviridae,242,NA,5.488937726156687,0.0,5.488937726156687
366,Marnavirus,Marnavirus,84,1,4.430816798843313,0.0,4.430816798843313
367,Bacillarnavirus,Bacillarnavirus,7,3,1.9459101490553132,1.0986122886681098,0.8472978603872034
368,Invictavirus,Invictavirus,10,1,2.302585092994046,0.0,2.302585092994046
369,Nyfulvavirus,Nyfulvavirus,9,1,2.1972245773362196,0.0,2.1972245773362196
370,Unclass. Solinviviridae,Unclass. Solinviviridae,3,NA,1.0986122886681098,0.0,1.0986122886681098
371,Triatovirus,Triatovirus,74,5,4.30406509320417,1.6094379124341003,2.6946271807700697
372,Unclass. Dicistroviridae,Unclass. Dicistroviridae,1122,NA,7.022868086082641,0.0,7.022868086082641
373,Cripavirus,Cripavirus,412,8,6.021023349349527,2.0794415416798357,3.941581807669691
374,Aparavirus,Aparavirus,135,6,4.90527477843843,1.791759469228055,3.1135153092103747
375,Fabavirus,Fabavirus,328,9,5.793013608384144,2.1972245773362196,3.5957890310479246
376,Comovirus,Comovirus,136,14,4.912654885736052,2.6390573296152584,2.273597556120794
377,Torradovirus,Torradovirus,40,10,3.6888794541139363,2.302585092994046,1.3862943611198904
378,Nepovirus,Nepovirus,466,41,6.144185634125646,3.713572066704308,2.4306135674213376
379,Cheravirus,Cheravirus,35,5,3.5553480614894135,1.6094379124341003,1.9459101490553132
380,Sadwavirus,Sadwavirus,14,9,2.6390573296152584,2.1972245773362196,0.44183275227903884
381,Unclass. Secoviridae,Unclass. Secoviridae,264,NA,5.575949103146316,0.0,5.575949103146316
382,Waikavirus,Waikavirus,59,11,4.07753744390572,2.3978952727983707,1.679642171107349
383,Sequivirus,Sequivirus,3,4,1.0986122886681098,1.3862943611198906,0.0
384,Lagovirus,Lagovirus,48,3,3.871201010907891,1.0986122886681098,2.7725887222397816
385,Vesivirus,Vesivirus,76,11,4.330733340286331,2.3978952727983707,1.9328380674879604
386,Nebovirus,Nebovirus,10,3,2.302585092994046,1.0986122886681098,1.2039728043259361
387,Norovirus,Norovirus,626,14,6.439350371100098,2.6390573296152584,3.80029304148484
388,Sapovirus,Sapovirus,247,8,5.5093883366279774,2.0794415416798357,3.4299467949481417
389,Unclass. Caliciviridae,Unclass. Caliciviridae,83,NA,4.418840607796598,0.0,4.418840607796598
390,Salovirus,Salovirus,13,1,2.5649493574615367,0.0,2.5649493574615367
391,Recovirus,Recovirus,6,1,1.791759469228055,0.0,1.791759469228055
392,Bavovirus,Bavovirus,10,1,2.302585092994046,0.0,2.302585092994046
393,Enterovirus,Enterovirus,1906,30,7.552762084214147,3.4011973816621555,4.151564702551992
394,Kobuvirus,Kobuvirus,242,13,5.488937726156687,2.5649493574615367,2.92398836869515
395,Megrivirus,Megrivirus,60,9,4.0943445622221,2.1972245773362196,1.8971199848858809
396,Aphthovirus,Aphthovirus,216,5,5.375278407684165,1.6094379124341003,3.765840495250065
397,Hepatovirus,Hepatovirus,49,11,3.8918202981106265,2.3978952727983707,1.4939250253122558
398,Parechovirus,Parechovirus,125,5,4.8283137373023015,1.6094379124341003,3.218875824868201
399,Senecavirus,Senecavirus,35,1,3.5553480614894135,0.0,3.5553480614894135
400,Sapelovirus,Sapelovirus,64,4,4.1588830833596715,1.3862943611198906,2.7725887222397807
401,Livupivirus,Livupivirus,2,1,0.6931471805599453,0.0,0.6931471805599453
402,Rabovirus,Rabovirus,8,2,2.0794415416798357,0.6931471805599453,1.3862943611198904
403,Avihepatovirus,Avihepatovirus,32,1,3.4657359027997265,0.0,3.4657359027997265
404,Unclass. Picornaviridae,Unclass. Picornaviridae,306,NA,5.723585101952381,0.0,5.723585101952381
405,Erbovirus,Erbovirus,4,1,1.3862943611198906,0.0,1.3862943611198906
406,Tremovirus,Tremovirus,11,2,2.3978952727983707,0.6931471805599453,1.7047480922384253
407,Avisivirus,Avisivirus,7,4,1.9459101490553132,1.3862943611198906,0.5596157879354227
408,Cardiovirus,Cardiovirus,113,7,4.727387818712341,1.9459101490553132,2.7814776696570274
409,Cosavirus,Cosavirus,38,7,3.6375861597263857,1.9459101490553132,1.6916760106710724
410,Salivirus,Salivirus,16,3,2.772588722239781,1.0986122886681098,1.6739764335716714
411,Mosavirus,Mosavirus,2,3,0.6931471805599453,1.0986122886681098,0.0
412,Torchivirus,Torchivirus,7,1,1.9459101490553132,0.0,1.9459101490553132
413,Mischivirus,Mischivirus,4,4,1.3862943611198906,1.3862943611198906,0.0
414,Sicinivirus,Sicinivirus,51,2,3.9318256327243257,0.6931471805599453,3.2386784521643803
415,Pasivirus,Pasivirus,152,1,5.0238805208462765,0.0,5.0238805208462765
416,Limnipivirus,Limnipivirus,3,3,1.0986122886681098,1.0986122886681098,0.0
417,Rosavirus,Rosavirus,30,5,3.4011973816621555,1.6094379124341003,1.7917594692280552
418,Oscivirus,Oscivirus,13,2,2.5649493574615367,0.6931471805599453,1.8718021769015913
419,Harkavirus,Harkavirus,2,1,0.6931471805599453,0.0,0.6931471805599453
420,Dicipivirus,Dicipivirus,4,2,1.3862943611198906,0.6931471805599453,0.6931471805599453
421,Aalivirus,Aalivirus,3,1,1.0986122886681098,0.0,1.0986122886681098
422,Poecivirus,Poecivirus,2,1,0.6931471805599453,0.0,0.6931471805599453
423,Shanbavirus,Shanbavirus,54,2,3.9889840465642745,0.6931471805599453,3.295836866004329
424,Teschovirus,Teschovirus,46,2,3.828641396489095,0.6931471805599453,3.1354942159291497
425,Hunnivirus,Hunnivirus,41,2,3.713572066704308,0.6931471805599453,3.0204248861443626
426,Gallivirus,Gallivirus,9,3,2.1972245773362196,1.0986122886681098,1.0986122886681098
427,Passerivirus,Passerivirus,21,2,3.044522437723423,0.6931471805599453,2.3513752571634776
428,Bopivirus,Bopivirus,6,1,1.791759469228055,0.0,1.791759469228055
429,Potamipivirus,Potamipivirus,1,2,0.0,0.6931471805599453,0.0
