,u10 Ensembl ID,u10 weight,u102540 Ensembl ID,u102540 weight,u11150 Ensembl ID,u11150 weight,u202260 Ensembl ID,u202260 weight,u39566 Ensembl ID,u39566 weight,u134800 Ensembl ID,u134800 weight,u102324 Ensembl ID,u102324 weight
2008,ENSMMUG00000012741.4,-0.000956139671567696,ENSMMUG00000051193.1,-0.0005230441980820934,ENSMMUG00000001048.4,0.0,ENSMMUG00000016859.4,-0.10578763168296063,ENSMMUG00000009912.4,-0.0381795178559467,ENSMMUG00000061948.1,-0.053461958554250386,ENSMMUG00000017151.4,-0.0950563918429137
2009,ENSMMUG00000022701.4,-0.0010472275255026665,ENSMMUG00000020952.4,-0.0005230441980820934,ENSMMUG00000001043.4,0.0,ENSMMUG00000063049.1,-0.10624488495443264,ENSMMUG00000006635.4,-0.038185636246916725,ENSMMUG00000009085.4,-0.05348599409267891,ENSMMUG00000050473.1,-0.09536070804227281
2010,ENSMMUG00000052566.1,-0.0011725131952151095,ENSMMUG00000010256.4,-0.0005230441980820934,ENSMMUG00000000966.4,0.0,ENSMMUG00000000713.4,-0.10660260556908925,ENSMMUG00000001979.4,-0.03871897906657286,ENSMMUG00000020211.4,-0.05351316000788309,ENSMMUG00000057906.1,-0.09544503531576155
2011,ENSMMUG00000003589.4,-0.0011858076397119974,ENSMMUG00000065205.1,-0.0005285504134789643,ENSMMUG00000000963.4,0.0,ENSMMUG00000047772.2,-0.10723246823715797,ENSMMUG00000054099.1,-0.03901314414056175,ENSMMUG00000058695.1,-0.05374022996806187,ENSMMUG00000018961.4,-0.09618554883021276
2012,ENSMMUG00000057532.1,-0.0011901026477219476,ENSMMUG00000059344.1,-0.0007321278283566174,ENSMMUG00000000958.4,0.0,ENSMMUG00000013009.4,-0.10761578848243009,ENSMMUG00000063630.1,-0.039036740098233394,ENSMMUG00000059736.1,-0.05417366967434685,ENSMMUG00000001748.4,-0.0964088576472469
2013,ENSMMUG00000054938.1,-0.0012105482678976725,ENSMMUG00000061756.1,-0.0007377809789573248,ENSMMUG00000000946.4,0.0,ENSMMUG00000056249.1,-0.10774257191147442,ENSMMUG00000003611.4,-0.03916744177487095,ENSMMUG00000006347.4,-0.05420818342877204,ENSMMUG00000060266.1,-0.09681318033144061
2014,ENSMMUG00000013102.4,-0.001355355442205229,ENSMMUG00000045265.2,-0.0007574670519335674,ENSMMUG00000000901.4,0.0,ENSMMUG00000000912.4,-0.10848317626744823,ENSMMUG00000059062.1,-0.03931109627489988,ENSMMUG00000058594.1,-0.05432363719610216,ENSMMUG00000016670.4,-0.09691808626021442
2015,ENSMMUG00000055640.1,-0.0015281738407484347,ENSMMUG00000049982.1,-0.0007785396992716497,ENSMMUG00000000872.4,0.0,ENSMMUG00000049406.1,-0.10854154872294271,ENSMMUG00000063103.1,-0.03934790550621747,ENSMMUG00000051714.1,-0.05435806808853915,ENSMMUG00000016535.4,-0.09708508666299798
2016,ENSMMUG00000007973.4,-0.0015986218346668096,ENSMMUG00000016017.4,-0.0008664082421852375,ENSMMUG00000000863.4,0.0,ENSMMUG00000017745.4,-0.10888663029382316,ENSMMUG00000060973.1,-0.03941426009421205,ENSMMUG00000023151.4,-0.05435806808853915,ENSMMUG00000042891.2,-0.0974840819678455
2017,ENSMMUG00000061910.1,-0.001633851125554917,ENSMMUG00000052270.1,-0.0009911006656772843,ENSMMUG00000000860.4,0.0,ENSMMUG00000005675.4,-0.10896808024429604,ENSMMUG00000053116.1,-0.03966737939926836,ENSMMUG00000023780.4,-0.054429991500132446,ENSMMUG00000065032.1,-0.09770252904517814
